Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Decote_%,Rendement_brut,Label,Url
toulouse,Appartement,68000.0,2720.0,3507.0,22.44,0.0666,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/1pieces/ag750949-536030168
toulouse,Appartement,349000.0,3116.07,3507.0,11.15,0.0582,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/iad-france-932200
toulouse,Appartement,117000.0,2785.71,3507.0,20.57,0.065,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/adapt-immo-31178725
toulouse,Appartement,199000.0,3075.73,3507.0,12.3,0.0589,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company56070hnm-appt-2252
toulouse,Appartement,189000.0,3022.07,3507.0,13.83,0.06,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-912513
toulouse,Appartement,230000.0,2771.08,3507.0,20.98,0.0654,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag060811-533712386
toulouse,Appartement,169000.0,2913.79,3507.0,16.91,0.0622,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-934363
toulouse,Appartement,174000.0,2718.75,3507.0,22.48,0.0666,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-926293
toulouse,Appartement,100000.0,1535.86,3507.0,56.21,0.118,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/laforet-immo-facile-21679026
toulouse,Appartement,175000.0,2777.78,3507.0,20.79,0.0652,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company56070hnm-appt-2238
toulouse,Appartement,188000.0,2724.64,3507.0,22.31,0.0665,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company56070hnm-appt-2242
toulouse,Appartement,158000.0,2430.77,3507.0,30.69,0.0745,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-880988
toulouse,Appartement,100000.0,2702.7,3507.0,22.93,0.067,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/ag750949-525515510
toulouse,Appartement,178000.0,2870.97,3507.0,18.14,0.0631,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-856599
toulouse,Appartement,179000.0,1556.52,3507.0,55.62,0.1164,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/immo-facile-60213213
toulouse,Appartement,168000.0,2555.52,3507.0,27.13,0.0709,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/laforet-immo-facile-52397508
toulouse,Appartement,249000.0,2621.05,3507.0,25.26,0.0691,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-2017066
toulouse,Appartement,200000.0,3023.89,3507.0,13.78,0.0599,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1988527
toulouse,Appartement,235000.0,2833.03,3507.0,19.22,0.064,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-1963079
toulouse,Appartement,78000.0,2888.89,3507.0,17.63,0.0627,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-1983342
toulouse,Appartement,149500.0,2135.71,3507.0,39.1,0.0848,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1951025
toulouse,Appartement,130000.0,2500.0,3507.0,28.71,0.0725,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1931447
toulouse,Appartement,162500.0,2828.55,3507.0,19.35,0.0641,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/hektor-SETFIMMOBILIER2022-33527
toulouse,Appartement,122000.0,2904.76,3507.0,17.17,0.0624,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-918991
toulouse,Appartement,240000.0,2467.87,3507.0,29.63,0.0734,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-866722
toulouse,Appartement,175000.0,2573.53,3507.0,26.62,0.0704,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-954913
toulouse,Appartement,245000.0,2643.79,3507.0,24.61,0.0685,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-953906
toulouse,Appartement,185000.0,2443.21,3507.0,30.33,0.0742,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-930996
toulouse,Appartement,167500.0,3101.85,3507.0,11.55,0.0584,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag314194-535980149
toulouse,Appartement,159000.0,2870.04,3507.0,18.16,0.0631,Decote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/immo-facile-60795902
toulouse,Appartement,155000.0,2274.06,3507.0,35.16,0.0797,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-60788115
toulouse,Appartement,149900.0,2331.26,3507.0,33.53,0.0777,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-60783953
toulouse,Appartement,173250.0,2279.61,3507.0,35.0,0.0795,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ics-sit_SITEA_tra-TAPP96740
toulouse,Appartement,155000.0,2500.0,3507.0,28.71,0.0725,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-60009091
toulouse,Appartement,160500.0,2673.22,3507.0,23.77,0.0678,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company40779suy-appt-5478
toulouse,Appartement,117500.0,2554.35,3507.0,27.16,0.0709,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/laforet-immo-facile-52644245
toulouse,Appartement,210000.0,2692.31,3507.0,23.23,0.0673,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag060811-533698442
toulouse,Appartement,149900.0,2417.74,3507.0,31.06,0.0749,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag133861-533867192
toulouse,Appartement,110500.0,1267.78,3507.0,63.85,0.1429,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/immo-facile-60628204
toulouse,Appartement,116000.0,2109.09,3507.0,39.86,0.0859,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-1-176-TAPP957296
toulouse,Appartement,136000.0,2788.03,3507.0,20.5,0.065,Decote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/citya-1-504-TAPP965601
