Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Décote_%,Rendement_brut,Label,Url
muret,Maison,360000.0,1621.62,2832.0,42.74,0.1043,Décote >20%,https://www.bienici.com/annonce/vente/muret/maison/5pieces/ag754248-524848619
toulouse,Maison,499000.0,2901.16,4077.0,28.84,0.0525,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/ag313299-524211935
toulouse,Appartement,188000.0,2724.64,3507.0,22.31,0.0665,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/consortium-172737469
toulouse,Maison,210000.0,2658.23,4077.0,34.8,0.0573,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/consortium-172706963
toulouse,Appartement,175000.0,2777.78,3507.0,20.79,0.0652,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/consortium-172682419
castelginest,Maison,398000.0,1519.08,2971.0,48.87,0.109,Décote >20%,https://www.bienici.com/annonce/vente/castelginest/maison/6pieces/ag754248-522179066
toulouse,Appartement,178000.0,2870.97,3507.0,18.14,0.0631,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-856599
toulouse,Appartement,250000.0,3048.78,3507.0,13.07,0.0594,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/hektor-ESCUDERO-8370
toulouse,Appartement,145000.0,2311.13,3507.0,34.1,0.0784,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-2041933
toulouse,Appartement,179000.0,2632.35,3507.0,24.94,0.0688,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag754248-520531103
toulouse,Maison,1095000.0,2627.85,4077.0,35.54,0.058,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/9pieces/hektor-3122MFRT-588
toulouse,Appartement,280000.0,2978.72,3507.0,15.06,0.0608,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-2036363
toulouse,Maison,549000.0,2450.89,4077.0,39.88,0.0622,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/apimo-86805512
toulouse,Maison,498000.0,3557.14,4077.0,12.75,0.0428,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/iad-france-2038528
toulouse,Maison,639500.0,3248.5,4077.0,20.32,0.0469,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/8pieces/netty-innoveimmo-house-1489
toulouse,Appartement,168000.0,2555.52,3507.0,27.13,0.0709,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/laforet-immo-facile-52397508
toulouse,Maison,649000.0,3250.69,4077.0,20.27,0.0469,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/century-21-202_3607_1626
toulouse,Appartement,262000.0,2757.89,3507.0,21.36,0.0657,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-2017066
toulouse,Appartement,135000.0,2934.78,3507.0,16.32,0.0617,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-taur-appt-4229
toulouse,Appartement,259500.0,2967.75,3507.0,15.38,0.0611,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/century-21-202_1052_121014
toulouse,Maison,525000.0,3017.24,4077.0,25.99,0.0505,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/netty-company35153qdg-house-6926
toulouse,Maison,620000.0,3542.86,4077.0,13.1,0.043,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/iad-france-2007590
fonsorbes,Maison,398000.0,1932.04,3075.0,37.17,0.0857,Décote >20%,https://www.bienici.com/annonce/vente/fonsorbes/maison/7pieces/consortium-171864223
toulouse,Appartement,194700.0,2988.03,3507.0,14.8,0.0606,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/nestenn-1-99939418527
toulouse,Appartement,200000.0,3023.89,3507.0,13.78,0.0599,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1988527
toulouse,Maison,400000.0,2857.14,4077.0,29.92,0.0533,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/immo-facile-59787442
toulouse,Maison,609000.0,3383.33,4077.0,17.01,0.045,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/citya-1-391-TMAI153952
toulouse,Appartement,250000.0,3013.86,3507.0,14.06,0.0601,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-1963079
toulouse,Maison,325000.0,3186.27,4077.0,21.85,0.0478,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/iad-france-1992550
saint-lys,Maison,480000.0,2016.81,2778.0,27.4,0.0803,Décote >20%,https://www.bienici.com/annonce/vente/saint-lys/maison/5pieces/consortium-171654972
toulouse,Appartement,78000.0,2888.89,3507.0,17.63,0.0627,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-1983342
toulouse,Maison,347000.0,2628.79,4077.0,35.52,0.058,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/laforet-immo-facile-52442673
cugnaux,Maison,299000.0,2555.56,3064.0,16.59,0.0549,Décote >10%,https://www.bienici.com/annonce/vente/cugnaux/maison/5pieces/hektor-LANNES2020-46731
