city,postal_code,ad_type,property_type,reference,title,publication_date,modification_date,new_property,rooms_quantity,bedrooms_quantity,price,surfaceArea,url
L'Union,31240,buy,programme,,INTIMIST',1970-01-01T00:00:00.000Z,2026-06-24T10:11:55.124Z,True,5,,309900,105.7,https://www.bienici.com/annonce/vente/l-union/programme/5pieces/sogeprom-1-100384
Toulouse,31300,buy,flat,WSUB8301,Cartoucherie - Bel appartement T1 bis avec loggia et cave,1970-01-01T00:00:00.000Z,2026-06-24T10:40:40.625Z,False,1,,120000,29,https://www.bienici.com/annonce/vente/toulouse/appartement/1pieces/ag315078-516539513
Toulouse,31400,buy,flat,T4-PdD,Pont des Demoiselles - Vaste appartement T4 avec terrasse et garage,1970-01-01T00:00:00.000Z,2026-06-14T23:19:39.511Z,False,4,3,580000,131.04,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/apimo-86478809
Toulouse,31000,buy,programme,,Sérénaé,1970-01-01T00:00:00.000Z,2026-06-24T10:41:12.009Z,True,"[2, 5]",,"[184700, 604000]","[39.23, 109.91]","https://www.bienici.com/annonce/vente/toulouse/programme/[2, 5]pieces/marignan-1198"
Toulouse,31000,buy,flat,3044,"TOULOUSE - GRAND ROND - T4 DUPLEX, 3 TERRASSES, ASCENSEUR, CAVE",2026-06-19T08:52:50.696Z,2026-06-23T09:00:57.676Z,False,4,3,780000,115.48,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/immo-facile-60640638
Toulouse,31300,buy,flat,486969689822001,"T4 - La Cartoucherie ""Live in Osmose""- Gge+loggia",2026-06-17T17:41:26.414Z,2026-06-18T15:58:26.173Z,False,4,3,375000,82,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag754248-536288876
Tournefeuille,31170,buy,flat,3008,T2 dernier Etage 45m² Terrasse 16m²,2026-06-16T18:25:03.738Z,2026-06-20T05:19:08.294Z,False,2,1,209000,45,https://www.bienici.com/annonce/vente/tournefeuille/appartement/2pieces/immo-facile-60818772
Toulouse,31300,buy,flat,4B2991BD308D4A79,Résidence Affaires,2026-06-16T13:14:02.272Z,2026-06-24T11:52:15.872Z,False,1,1,68000,25,https://www.bienici.com/annonce/vente/toulouse/appartement/1pieces/ag750949-536030168
Toulouse,31000,buy,flat,961568345202041,Toulouse-Les Carmes - T2/3 rénové sur cour privée,2026-06-15T17:39:43.846Z,2026-06-23T19:47:59.711Z,False,3,1,300000,64,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag754248-535856873
Toulouse,31200,buy,flat,1504-LAGENCERIE2,"Volume, Terrasse et Esprit Maison",2026-06-13T14:12:42.673Z,2026-06-16T05:10:01.427Z,False,4,3,369000,99,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/netty-lagencerie2-appt-4147
